regime_id,net_edge_bps,sample_days
0_vol_1_liq,-22.131094287454147,166
2_vol_1_liq,-22.131094287454147,376
1_vol_1_liq,-22.131094287454147,295
1_vol_0_liq,-22.131094287454147,182
0_vol_0_liq,-22.131094287454147,650
2_vol_0_liq,-22.131094287454147,6
2_vol_2_liq,-22.131094287454147,456
1_vol_2_liq,-22.131094287454147,360
0_vol_2_liq,-22.131094287454147,22
