aum,turnover,net_edge_bps
100000,0.0,-0.13109428745414656
100000,0.2,-4.60811593666277
100000,0.4,-9.040019348361325
100000,0.6000000000000001,-13.464499697166232
100000,0.8,-17.885137585871394
100000,1.0,-22.303319930823772
100000,1.2000000000000002,-26.719758027162918
100000,1.4000000000000001,-31.13487441682822
100000,1.6,-35.54894440926851
100000,1.8,-39.962159235080016
100000,2.0,-44.3746581280959
100000,2.2,-48.78654619861352
100000,2.4000000000000004,-53.19790510687832
100000,2.6,-57.60879979299664
100000,2.8000000000000003,-62.01928291015711
100000,3.0,-66.42939785213657
100000,3.2,-70.83918088428865
100000,3.4000000000000004,-75.24866268260057
100000,3.6,-79.65786947017568
100000,3.8000000000000003,-84.06682387281937
100000,4.0,-88.47554557419339
250000,0.0,-0.13109428745414656
250000,0.2,-4.652876207775025
250000,0.4,-9.103319930823771
250000,0.6000000000000001,-13.542026760893213
250000,0.8,-17.974658128095903
250000,1.0,-22.403406939722093
250000,1.2000000000000002,-26.82939785213658
250000,1.4000000000000001,-31.253298962807076
250000,1.6,-35.6755455741934
250000,1.8,-40.09644004841678
250000,2.0,-44.516202533497264
250000,2.2,-48.93499922340745
250000,2.4000000000000004,-53.35295923433229
250000,2.6,-57.77018524559554
250000,2.8000000000000003,-62.18676050919828
250000,3.0,-66.60275363672606
250000,3.2,-71.01822196873766
250000,3.4000000000000004,-75.43321400822768
250000,3.6,-79.84777121756302
250000,3.8000000000000003,-84.26192937128317
250000,4.0,-88.67571959199003
500000,0.0,-0.13109428745414656
500000,0.2,-4.703319930823771
500000,0.4,-9.174658128095903
500000,0.6000000000000001,-13.629397852136577
500000,0.8,-18.075545574193395
500000,1.0,-22.516202533497264
500000,1.2000000000000002,-26.95295923433228
500000,1.4000000000000001,-31.386760509198275
500000,1.6,-35.81822196873766
500000,1.8,-40.24777121756302
500000,2.0,-44.67571959199004
500000,2.2,-49.102302125788746
500000,2.4000000000000004,-53.52770141681901
500000,2.6,-57.9520626755731
500000,2.8000000000000003,-62.375503638160005
500000,3.0,-66.79812133601456
500000,3.2,-71.21999686093265
500000,3.4000000000000004,-75.64119880650706
500000,3.6,-80.06178580937942
500000,3.8000000000000003,-84.48180846238861
500000,4.0,-88.90131077954038
1000000,0.0,-0.13109428745414656
1000000,0.2,-4.7746581280959015
1000000,0.4,-9.275545574193396
1000000,0.6000000000000001,-13.752959234332277
1000000,0.8,-18.21822196873766
1000000,1.0,-22.675719591990035
1000000,1.2000000000000002,-27.127701416819008
1000000,1.4000000000000001,-31.57550363816
1000000,1.6,-36.01999686093264
1000000,1.8,-40.461785809379414
1000000,2.0,-44.90131077954038
1000000,2.2,-49.33890415936076
1000000,2.4000000000000004,-53.77482418121041
1000000,2.6,-58.209276203736934
1000000,2.8000000000000003,-62.642426730942404
1000000,3.0,-67.07441298599798
1000000,3.2,-71.50534965002117
1000000,3.4000000000000004,-75.9353337290012
1000000,3.6,-80.3644481476719
1000000,3.8000000000000003,-84.79276445511219
1000000,4.0,-89.22034489652593
2500000,0.0,-0.13109428745414656
2500000,0.2,-4.9162025334972626
2500000,0.4,-9.475719591990035
2500000,0.6000000000000001,-13.998121336014561
2500000,0.8,-18.50131077954038
2500000,1.0,-22.99222250430227
2500000,1.2000000000000002,-27.474412985997983
2500000,1.4000000000000001,-31.949994934324508
2500000,1.6,-36.420344896525926
2500000,1.8,-40.88641902558349
2500000,2.0,-45.348913490662916
2500000,2.2,-49.80835384325103
2500000,2.4000000000000004,-54.265148384574985
2500000,2.6,-58.719621815166605
2500000,2.8000000000000003,-63.17203740096893
2500000,3.0,-67.62261211086629
2500000,3.2,-72.07152727162662
2500000,3.4000000000000004,-76.51893626318626
2500000,3.6,-80.96497020106182
2500000,3.8000000000000003,-85.40974221428029
2500000,4.0,-89.85335072115039
5000000,0.0,-0.13109428745414656
5000000,0.2,-5.075719591990036
5000000,0.4,-9.701310779540378
5000000,0.6000000000000001,-14.274412985997982
5000000,0.8,-18.820344896525924
5000000,1.0,-23.34891349066292
5000000,1.2000000000000002,-27.865148384574976
5000000,1.4000000000000001,-32.37203740096893
5000000,1.6,-36.87152727162661
5000000,1.8,-41.364970201061816
5000000,2.0,-45.85335072115039
5000000,2.2,-50.33741207393273
5000000,2.4000000000000004,-54.81773168454182
5000000,2.6,-59.29476874887349
5000000,2.8000000000000003,-63.76889558119487
5000000,3.0,-68.24041902184479
5000000,3.2,-72.7095955055977
5000000,3.4000000000000004,-77.1766419444398
5000000,3.6,-81.64174376371284
5000000,3.8000000000000003,-86.10506095202115
5000000,4.0,-90.56673269387169
10000000,0.0,-0.13109428745414656
10000000,0.2,-5.301310779540378
10000000,0.4,-10.020344896525925
10000000,0.6000000000000001,-14.665148384574975
10000000,0.8,-19.27152727162661
10000000,1.0,-23.853350721150388
10000000,1.2000000000000002,-28.417731684541817
10000000,1.4000000000000001,-32.968895581194865
10000000,1.6,-37.5095955055977
10000000,1.8,-42.041743763712844
10000000,2.0,-46.56673269387169
10000000,2.2,-51.085613399047915
10000000,2.4000000000000004,-55.599202481695805
10000000,2.6,-60.10814934287906
10000000,2.8000000000000003,-64.61298051448371
10000000,3.0,-69.11412993427842
10000000,3.2,-73.61196025579908
10000000,3.4000000000000004,-78.10677823891838
10000000,3.6,-82.59884611466948
10000000,3.8000000000000003,-87.08839014110642
10000000,4.0,-91.57560715484664
