regime_id,net_edge_bps,sample_days
0_vol_1_liq,-22.13105906839272,166
2_vol_1_liq,-22.13105906839272,376
1_vol_1_liq,-22.13105906839272,295
1_vol_0_liq,-22.13105906839272,182
0_vol_0_liq,-22.13105906839272,650
2_vol_0_liq,-22.13105906839272,6
2_vol_2_liq,-22.13105906839272,456
1_vol_2_liq,-22.13105906839272,360
0_vol_2_liq,-22.13105906839272,22
